,C2,C3`,C5,C3_impute,S3prime,Y1,C2,C3`,C4,C5,S3prime,Y2
0,1,1,-0.08534987093761999,0.02125019610197577,-0.20726037955859059,0,1,1,0.6545660898758693,-0.08534987093761999,-0.20726037955859059,1
1,0,0,-0.20002008162153176,-0.010657235238809971,-0.22585889905257772,1,0,0,-0.6197765094144966,-0.20002008162153176,-0.22585889905257772,0
2,1,0,-0.3140328912443299,-0.008256280009206292,-0.04087650605770756,1,1,0,0.4034795598120954,-0.3140328912443299,-0.04087650605770756,0
3,1,0,-0.3329696887644776,-0.006171239941392571,0.6318164616189916,1,1,0,0.38269809910737834,-0.3329696887644776,0.6318164616189916,0
4,1,1,-0.1822639566077353,2.0697229690602657e-05,-0.0905663376752961,0,1,1,-1.266863022960582,-0.1822639566077353,-0.0905663376752961,1
5,1,1,-0.07168691336607,-4.248580266738896e-05,-0.513512456772347,0,1,1,-1.9475402803040947,-0.07168691336607,-0.513512456772347,0
6,1,0,-0.29315860588362835,-0.012236811047759762,-1.0362215138234907,1,1,0,-0.09541750251303724,-0.29315860588362835,-1.0362215138234907,0
7,0,0,-0.2900793805811055,-0.005097128391306714,-0.22863980387717633,1,0,0,1.0013634713189234,-0.2900793805811055,-0.22863980387717633,0
8,1,0,0.028633742143129217,-0.003643918647072908,1.5017354502295672,1,1,0,-1.0992939663510555,0.028633742143129217,1.5017354502295672,0
9,1,1,-0.15494519125115852,0.008992687824525404,1.6059168242895039,1,1,1,-0.9674065168020859,-0.15494519125115852,1.6059168242895039,0
11,1,0,-0.30472932161454697,-2.5157381021684593,0.20185909744605016,1,1,0,0.24645000458443755,-0.30472932161454697,0.20185909744605016,0
12,1,1,-0.32309649734923773,0.001284357876850434,0.8557544517651204,0,1,1,0.37392570543847775,-0.32309649734923773,0.8557544517651204,1
13,1,0,-0.3380748544389712,-0.014258668083215489,0.5429699090989937,0,1,0,-0.4084358177303417,-0.3380748544389712,0.5429699090989937,1
14,1,1,0.0005942422716080367,0.0007157105856285097,-0.8031821792003093,1,1,1,0.4803644990396593,0.0005942422716080367,-0.8031821792003093,0
15,1,1,0.3798002105374197,0.0006525275532705183,-1.044423984466129,1,1,1,-2.785524832276826,0.3798002105374197,-1.044423984466129,0
16,1,1,-0.2430341361101129,0.0015370900062824,0.4694451136692284,0,1,1,-0.21107959719002664,-0.2430341361101129,0.4694451136692284,0
17,1,1,-0.25484400935548956,0.0004629784561965436,0.0800676285144163,1,1,1,-0.4084358177303417,-0.25484400935548956,0.0800676285144163,0
18,1,1,0.12712872716281096,0.007034013821427665,-1.0048632005740081,1,1,1,0.887547936313413,0.12712872716281096,-1.0048632005740081,0
19,1,1,-0.29316893229944235,0.0035589470417381297,-1.3095569177528195,0,1,1,-0.5999746782028343,-0.29316893229944235,-1.3095569177528195,1
